,number,name_en,name_en_lowercase,dex_en,name_de,name_de_lowercase,dex_de,name_fr,name_fr_lowercase,dex_fr,name_it,name_it_lowercase,dex_it,name_es,name_es_lowercase,dex_es,catchrate,atk,def,hp,spd,type1,type2,legendary,mythical
16,16,Pidgey,pidgey,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Taubsi,taubsi,"Ein sanftmütiges Pokémon, welches lieber Sand zum Schutz aufwirbelt, als zurückzuschlagen.",Roucool,roucool,"De nature très docile, il préfère projeter du sable pour se défendre plutôt que contre-attaquer.",Pidgey,pidgey,"Di indole docile, preferisce gettare sabbia verso il nemico per proteggersi piuttosto che attaccarlo.",Pidgey,pidgey,"Su docilidad es tal que suelen defenderse levantando arena en lugar de contraatacar.",255,240,235,250,272,Normal,Flying,0,0
17,17,Pidgeotto,pidgeotto,"This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.",Tauboga,tauboga,"Dieses kraftvolle Pokémon wacht unermüdlich über sein riesiges Territorium und fliegt weite Strecken auf der Suche nach Beute.",Roucoups,roucoups,"Ce Pokémon est très endurant. Il survole en permanence son territoire pour chasser.",Pidgeotto,pidgeotto,"Un Pokémon pieno di vitalità che vola instancabile sul suo territorio in cerca di prede.",Pidgeotto,pidgeotto,"Su extraordinaria vitalidad y resistencia le permiten cubrir grandes distancias del territorio que habita en busca de presas.",120,270,265,296,302,Normal,Flying,0,0
18,18,Pidgeot,pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Tauboss,tauboss,"Auf der Jagd nach Beute fliegt es mit einer Geschwindigkeit von bis zu Mach 2. Seine mächtigen Klauen gelten als gefürchtete Waffen.",Roucarnage,roucarnage,"Ce Pokémon vole à Mach 2 quand il chasse. Ses grandes serres sont des armes redoutables.",Pidgeot,pidgeot,"Può volare a una velocità di Mach 2 in cerca di prede. I suoi artigli sono armi micidiali.",Pidgeot,pidgeot,"Este Pokémon vuela a una velocidad de 2 mach en busca de presas. Sus grandes garras son armas muy peligrosas.",45,310,305,336,362,Normal,Flying,0,0
19,19,Rattata,rattata,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Rattfratz,rattfratz,"Es knabbert mit seinen zwei Nagezähnen alles und jeden an. Stößt man auf eines, findet man sicherlich 40 weitere in der Gegend.",Rattata,rattata,"Il peut ronger n’importe quoi avec ses deux dents. Quand on en voit un, il y en a certainement 40 dans le coin.",Rattata,rattata,"Con i suoi incisivi rode qualsiasi cosa. Se se ne avvista uno, è probabile che in zona vivano almeno 40 esemplari.",Rattata,rattata,"Es propenso a hincar los incisivos en cualquier cosa que se le ponga por delante. Si se ve alguno, seguramente haya cuarenta cerca.",255,241,230,230,304,Normal,,0,0
20,20,Raticate,raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Rattikarl,rattikarl,"Die Hinterbeine dieses Pokémon verfügen über kleine Schwimmhäute. So kann es in Flüssen jagen.",Rattatac,rattatac,"Ses pattes arrière sont palmées. Il peut donc poursuivre sa proie dans les cours d’eau et les rivières.",Raticate,raticate,"Dispone di zampe posteriori palmate che gli permettono di nuotare nei fiumi in cerca di prede.",Raticate,raticate,"Gracias a las pequeñas membranas de las patas traseras, puede nadar por los ríos para capturar presas.",127,291,290,280,354,Normal,,0,0
21,21,Spearow,spearow,"Inept at flying high. However, it can fly around very fast to protect its territory.",Habitak,habitak,"In großen Höhen fällt ihm das Fliegen schwer. Allerdings kann es pfeilschnell umherflitzen, wenn es um den Schutz seines Habitats geht.",Piafabec,piafabec,"Il est incapable de voler à haute altitude. Il se déplace très vite pour protéger son territoire.",Spearow,spearow,"Incapace di raggiungere alte quote, sorvola il suo territorio a gran velocità per proteggerlo.",Spearow,spearow,"A la hora de proteger su territorio, compensa su incapacidad para volar a gran altura con una increíble velocidad.",255,251,221,250,300,Normal,Flying,0,0
22,22,Fearow,fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Ibitak,ibitak,"Dieses Pokémon gehört einer sehr alten Spezies an. Wittert es Gefahr, so fliegt es sofort in große Höhen davon.",Rapasdepic,rapasdepic,"Un Pokémon très ancien. S’il perçoit un danger, il fuit instantanément à haute altitude.",Fearow,fearow,"Questo Pokémon molto antico vola in alto nel cielo al minimo accenno di pericolo.",Fearow,fearow,"Este Pokémon ha existido desde tiempos remotos. Al menor atisbo de peligro, alza el vuelo y huye.",90,311,286,300,360,Normal,Flying,0,0
23,23,Ekans,ekans,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Rettan,rettan,"Mit dem Alter wird der Körper dieses Pokémon immer länger. Nachts wickelt es sich um Äste, um zu ruhen.",Abo,abo,"Plus il est âgé, plus son corps est long. La nuit, il s’enroule autour de branches d’arbres pour se reposer.",Ekans,ekans,"Si allunga sempre più con l’età. La notte si avvolge attorno a qualche ramo per dormire.",Ekans,ekans,"La longitud de este Pokémon aumenta con el tiempo. Por la noche, se enrosca en las ramas de los árboles para descansar.",255,260,258,240,270,Poison,,0,0
24,24,Arbok,arbok,"The frightening patterns on its belly have been studied. Six variations have been confirmed.",Arbok,arbok,"Von dem furchterregenden Muster auf seinem Bauch wurden durch Studien bislang sechs verschiedene Varianten entdeckt.",Arbok,arbok,"Des études ont révélé que les marques effrayantes de son corps pouvaient former six motifs différents.",Arbok,arbok,"Gli spaventosi disegni che ha sulla pancia sono oggetto di studio. Ne sono state scoperte sei diverse variazioni.",Arbok,arbok,"Se han llegado a identificar hasta seis variaciones distintas de los espeluznantes dibujos de su piel.",90,320,308,290,320,Poison,,0,0
25,25,Pikachu,pikachu,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting.",Pikachu,pikachu,"Pikachu begrüßen einander, indem sie ihre Schweife aneinanderreiben und eine Ladung Strom durch diese gleiten lassen.",Pikachu,pikachu,"Les Pikachu se disent bonjour en se frottant la queue et en y faisant passer du courant électrique.",Pikachu,pikachu,"I Pikachu si salutano fra loro unendo le code e facendovi passare elettricità attraverso.",Pikachu,pikachu,"Los miembros de esta especie se saludan entre sí uniendo sus colas y transmitiéndose corriente eléctrica.",190,265,250,240,340,Electric,,0,0
26,26,Raichu,raichu,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere.",Raichu,raichu,"Wenn der in seinen Backentaschen gespeicherte Strom leer ist, stellt es seinen Schweif auf, um Elektrizität aus der Luft zu ziehen.",Raichu,raichu,"Si ses joues sont à court d’énergie, il lève la queue et capte l’électricité contenue dans l’atmosphère.",Raichu,raichu,"Quando le sacche elettriche sono scariche, rizza la coda per raccogliere elettricità dall’atmosfera.",Raichu,raichu,"Cuando ha descargado las bolsas de las mejillas, levanta la cola y absorbe la carga eléctrica que hay en el ambiente.",75,340,295,290,380,Electric,,0,0
27,27,Sandshrew,sandshrew,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging.",Sandan,sandan,"Es gräbt sich seinen Bau im Erdboden. Stößt es dabei auf harte Steine, zerstört es diese mit seinen scharfen Krallen und gräbt unbeirrt weiter.",Sabelette,sabelette,"Il creuse le sol pour construire sa tanière. Rien n’arrête ses griffes acérées, pas même la roche la plus solide.",Sandshrew,sandshrew,"Scava nel terreno per costruire la sua tana, frantumando anche le rocce più dure con i suoi artigli affilati.",Sandshrew,sandshrew,"Excava madrigueras profundas en las que vive. Parte con sus afiladas garras cualquier roca, por dura que sea, que le entorpezca el camino.",255,255,275,270,240,Ground,,0,0
28,28,Sandslash,sandslash,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree.",Sandamer,sandamer,"Mit seinen scharfen Krallen klettert es auf Bäume und wirft unten wartenden Sandan Beeren zu, die sie sich dann teilen.",Sablaireau,sablaireau,"Il grimpe aux arbres grâce à ses griffes acérées et fait tomber des Baies pour les Sabelette qui attendent au sol.",Sandslash,sandslash,"Si arrampica sugli alberi utilizzando i suoi artigli affilati per poi condividere le bacche che trova con i Sandshrew, che aspettano sotto.",Sandslash,sandslash,"Trepa a los árboles con sus afiladas garras y deja caer bayas para los Sandshrew que esperan debajo.",90,305,325,320,290,Ground,,0,0
29,29,Nidoran♀,nidoran♀,"It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.",Nidoran♀,nidoran♀,"Mit ihren harten Vorderzähnen zerteilen sie Beeren, bevor sie diese essen. Die Spitze ihres Horns ist etwas abgerundeter als bei Männchen.",Nidoran♀,nidoran♀,"Ce Pokémon se nourrit de Baies en les ouvrant avec ses incisives. Le bout de sa corne est plus arrondi que celui du mâle.",Nidoran♀,nidoran♀,"Mangia le bacche frantumandole con i robusti incisivi. La punta del corno è leggermente più arrotondata rispetto a quella del maschio.",Nidoran♀,nidoran♀,"Parte las bayas con sus duros incisivos para comérselas. La punta del cuerno de las hembras es más redondeada que la de los machos.",235,247,252,280,242,Poison,,0,0
30,30,Nidorina,nidorina,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves.",Nidorina,nidorina,"Nähert sich Gefahr, schließen sie sich mit anderen Artgenossen zusammen und begegnen der Bedrohung mit einem Chor aus Ultraschallwellen.",Nidorina,nidorina,"Si un danger menace le groupe, ces Pokémon se réunissent et l’affrontent en émettant des ultrasons en chœur.",Nidorina,nidorina,"Quando il branco è minacciato da un pericolo, i suoi membri uniscono le forze e dispiegano un coro di ultrasuoni.",Nidorina,nidorina,"Cuando el peligro se cierne sobre la manada, los miembros unen fuerzas para defenderse emitiendo un coro de ondas ultrasónicas.",120,277,282,310,272,Poison,,0,0
31,31,Nidoqueen,nidoqueen,"It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.",Nidoqueen,nidoqueen,"Es beruhigt seine Jungen, indem es diese zwischen den Stacheln auf seinem Rücken reiten lässt. Die Stacheln sondern derweil kein Gift ab.",Nidoqueen,nidoqueen,"Ce Pokémon calme les petits de son espèce en les plaçant entre ses épines dorsales. Dans ce cas, elles ne libèrent pas de poison.",Nidoqueen,nidoqueen,"Coccola i cuccioli mettendoseli sulla schiena negli spazi fra gli aculei, che in quei momenti smettono di secernere veleno.",Nidoqueen,nidoqueen,"Para mecer a sus crías, las coloca en los huecos que tiene entre las púas dorsales, momento durante el cual no secretan veneno.",45,327,332,350,312,Poison,Ground,0,0
32,32,Nidoran♂,nidoran♂,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with.",Nidoran♂,nidoran♂,"Trotz seiner geringen Größe ist es sehr mutig. Um ein befreundetes Weibchen zu beschützen, riskiert es sein Leben und kämpft unerschrocken.",Nidoran♂,nidoran♂,"Malgré sa petite taille, il est très téméraire. Afin de protéger sa compagne, il est prêt à se battre et à risquer sa vie.",Nidoran♂,nidoran♂,"Impavido nonostante la corporatura minuta, lotta con coraggio per proteggere la femmina a cui è affezionato, anche a costo della vita.",Nidoran♂,nidoran♂,"Pequeño pero valiente. Arriesgaría la vida en combate con tal de proteger a su compañera.",235,257,240,262,260,Poison,,0,0
33,33,Nidorino,nidorino,"It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.",Nidorino,nidorino,"Es ist nervös und wird schnell aggressiv. Steigt sein Adrenalinspiegel, erhöht sich gleichzeitig auch die Konzentration seines Gifts.",Nidorino,nidorino,"D’un naturel nerveux, il est prompt à se battre. Lorsqu’il a une montée d’adrénaline, la concentration de son poison augmente.",Nidorino,nidorino,"È irritabile e sempre pronto a battersi. Quando il livello di adrenalina nel suo corpo si alza, aumenta anche la concentrazione di tossine.",Nidorino,nidorino,"Es nervioso y agresivo por naturaleza. Cuando suben sus niveles de adrenalina, la concentración de toxinas en su veneno aumenta.",120,287,272,292,290,Poison,,0,0
34,34,Nidoking,nidoking,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn.",Nidoking,nidoking,"Nidoking ist stolz auf seine Kraft und kämpft sehr geschickt mit seinem dicken Schweif und seinem Horn, das selbst Diamanten zertrümmern kann.",Nidoking,nidoking,"Très fier de sa force, il se bat vigoureusement à l’aide de sa queue robuste et de sa corne capable de briser le diamant.",Nidoking,nidoking,"Si dà vanto della propria forza e lotta con vigore sfruttando la coda robusta e il corno in grado di frantumare il diamante.",Nidoking,nidoking,"Presume de su hercúlea fuerza y combate vigorosamente con su robusta cola y su cuerno, con el que hasta puede pulverizar diamantes.",45,347,312,332,330,Poison,Ground,0,0
35,35,Clefairy,clefairy,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found.",Piepi,piepi,"Aufgrund seines reizenden Wesens und seines Rufes erfreut sich dieses Pokémon großer Beliebtheit. Leider ist es auch sehr selten.",Mélofée,mélofée,"Son comportement et son cri adorables font de lui un Pokémon très populaire. Malheureusement, il est difficile d’en croiser un spécimen.",Clefairy,clefairy,"Il suo verso e le sue movenze graziose rendono questo adorabile Pokémon molto popolare. Sfortunatamente, però, è molto raro.",Clefairy,clefairy,"Su adorable grito y comportamiento lo hacen muy popular. Sin embargo, raramente se avista.",150,265,273,310,230,Fairy,,0,0
36,36,Clefable,clefable,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places.",Pixi,pixi,"Ihr Gehör erfasst das Geräusch einer fallenden Nadel noch aus 1 km Entfernung. Sie bevorzugen daher ruhige Orte.",Mélodelfe,mélodelfe,"Capable d’entendre une aiguille tomber à plus d’un kilomètre, ce Pokémon préfère les endroits calmes et isolés.",Clefable,clefable,"Il loro udito è così acuto che sentono un ago cadere a 1 km di distanza. Per questo di solito vivono in luoghi molto silenziosi.",Clefable,clefable,"Su oído es tan fino que puede percibir cómo cae una aguja a 1 km de distancia. Por eso suele habitar en lugares tranquilos.",25,325,323,360,280,Fairy,,0,0
37,37,Vulpix,vulpix,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.",Vulpix,vulpix,"Sein Fell wird geschmeidiger, wenn seine sechs Schweife wachsen. Wenn man das Fell berührt, fühlt es sich leicht warm an.",Goupix,goupix,"Avec l’âge, la fourrure de ses six queues devient de plus en plus belle et soyeuse. Elle est chaude au toucher.",Vulpix,vulpix,"Man mano che cresce, le sue sei code diventano sempre più belle. La pelliccia di cui sono ricoperte è calda al tatto.",Vulpix,vulpix,"Su pelaje se va volviendo más suave, lustroso y bello a medida que le crecen las seis colas. Al abrazarlo, emana una ligera calidez.",190,251,265,246,290,Fire,,0,0
38,38,Ninetales,ninetales,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",Vulnona,vulnona,"Dieses Pokémon ist intelligent, aber rachsüchtig. Wer zum Spaß einen seiner Schweife ergreift, kann sich einen tausendjährigen Fluch einhandeln.",Feunard,feunard,"Il est très intelligent et rancunier. Quiconque attrape une de ses queues se fera maudire pour 1 000 ans.",Ninetales,ninetales,"Molto intelligente e vendicativo. Chi gli afferra una coda rischia una maledizione millenaria.",Ninetales,ninetales,"Muy inteligente y vengativo. Agarrar una de sus colas podría traer 1000 años de mala suerte.",75,317,335,316,360,Fire,,0,0
39,39,Jigglypuff,jigglypuff,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy.",Pummeluff,pummeluff,"Es kann die Tonlage seiner Stimme beliebig variieren, um eine mysteriöse Melodie zu singen, die jeden in Schlaf versetzt, der sie hört.",Rondoudou,rondoudou,"Il module librement la longueur d’onde de sa voix pour chanter une étrange mélodie qui endort à tous les coups celui qui l’écoute.",Jigglypuff,jigglypuff,"Modulando a piacere la lunghezza d’onda della sua voce, canta una melodia misteriosa che fa addormentare immancabilmente chi la ascolta.",Jigglypuff,jigglypuff,"Posee la capacidad de modular su voz a voluntad cambiando la longitud de onda para entonar una melodía misteriosa que provoca adormecimiento.",170,250,205,400,200,Normal,Fairy,0,0
40,40,Wigglytuff,wigglytuff,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly.",Knuddeluff,knuddeluff,"Knuddeluffs weiches Fell ist sein ganzer Stolz. Besonders die Locke auf seiner Stirn fühlt sich herrlich an.",Grodoudou,grodoudou,"Sa fourrure soyeuse fait sa fierté. La touffe sur son front est si douce que la caresser donne l’impression d’être sur un petit nuage.",Wigglytuff,wigglytuff,"Va molto fiero del suo manto soffice. Il ricciolo sulla fronte, in particolare, suscita una sensazione sublime al tatto.",Wigglytuff,wigglytuff,"Se enorgullece de su pelaje fino y sedoso. El rizo de la frente, en especial, posee un tacto sublime.",50,315,255,450,250,Normal,Fairy,0,0
41,41,Zubat,zubat,"Zubat live in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep.",Zubat,zubat,"Zubat leben tief in Höhlen, wo das Sonnenlicht sie nicht erreicht. Bei Tagesanbruch rücken sie zusammen, um sich im Schlaf zu wärmen.",Nosferapti,nosferapti,"Ils vivent dans les grottes où la lumière du jour ne perce jamais. Le matin, ils se blottissent les uns contre les autres pour se réchauffer et dormir.",Zubat,zubat,"Vive in grotte mai rischiarate dalla luce del sole. Quando si fa giorno, si raggruppa con i suoi simili per scaldarsi mentre dorme.",Zubat,zubat,"Habitan en cuevas donde no llegan los rayos del sol. De día, se acurrucan unos junto a otros para entrar en calor mientras duermen.",255,235,235,250,270,Poison,Flying,0,0
